Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
1481	BATERIA YTX5LBS RIDERS	$20500.00	$34000.00	$0.00	0.00	0.000	- Sin Departamento -
1482	BATERIA YTX7-LBS MAHLI	$29770.00	$48000.00	$0.00	1.00	0.000	- Sin Departamento -
1002325	BATERIA YTX7A-BS MAHLI	$30550.00	$49000.00	$0.00	3.00	0.000	- Sin Departamento -
 VC548	BAULERA SMASH BAJO ASIENTO 	$12825.00	$20600.00	$0.00	3.00	0.000	- Sin Departamento -
1733	BENDIX DE ARRANQUE CON CORONA ROHAN	$6930.00	$12500.00	$0.00	0.00	0.000	- Sin Departamento -
 PG108800003	BENDIX DE ARRANQUE HONDA WAVE PAG	$10530.00	$16900.00	$0.00	1.00	0.000	- Sin Departamento -
1765	BENDIX DE ARRANQUE RX150 	$4590.00	$7500.00	$0.00	2.00	0.000	- Sin Departamento -
1009703	BENDIX DE ARRANQUE SMASH COMPLETO	$11440.00	$18300.00	$0.00	4.00	0.000	- Sin Departamento -
 CKM0478	BIELA CORTA SMASH CKM	$10610.00	$16000.00	$0.00	4.00	0.000	- Sin Departamento -
1003371	BIELA CORTA SMASH FORTE	$9490.00	$16000.00	$0.00	1.00	0.000	- Sin Departamento -
 SAM1037	BIELA GILERA SMASH CORTA OSAKA 	$8910.00	$16000.00	$0.00	0.00	0.000	- Sin Departamento -
1542	BIELA HONDA TITAN 150 1823	$19370.00	$31000.00	$0.00	1.00	0.000	- Sin Departamento -
 BINW	BIELA HONDA WAVE S 	$9790.00	$17000.00	$0.00	2.00	0.000	- Sin Departamento -
1003380	BIELA RX150/ SKUA 150 FORTE	$10270.00	$25000.00	$0.00	2.00	0.000	- Sin Departamento -
 CKM0477	BIELA SMASH LARGA CKM 	$10910.00	$18000.00	$0.00	2.00	0.000	- Sin Departamento -
 CC1038	BOBINA DE IGNICION RX150 NSU	$5850.00	$9950.00	$0.00	2.00	0.000	- Sin Departamento -
 PG106700006	BOBINA IGNICION CG TITAN 150 	$7670.00	$12300.00	$0.00	0.00	0.000	- Sin Departamento -
1304	BOBINA IGNICION CON CAPUCHON 110 	$4540.00	$9000.00	$0.00	0.00	0.000	- Sin Departamento -
 PG106700007	BOBINA IGNICION CON CAPUCHON 110 PAG 	$5850.00	$10000.00	$0.00	3.00	0.000	- Sin Departamento -
1113	BOCINA 12V CALIBRIKE	$2830.00	$5500.00	$0.00	2.00	1	- Sin Departamento -
 B03	BOMBA DE ACEITE BIZ SMASH CARTER CHICO OSAKA	$3150.00	$5500.00	$0.00	3.00	0.000	- Sin Departamento -
2115	BOMBA DE ACEITE BIZ/WAVE 	$2630.00	$6000.00	$0.00	2.00	0.000	- Sin Departamento -
1003381	BOMBA DE ACEITE CG 125 	$7540.00	$12100.00	$0.00	1.00	0.000	- Sin Departamento -
1538	BOMBA DE ACEITE RX150 MAX5	$8970.00	$15300.00	$0.00	1.00	0.000	- Sin Departamento -
2118	BOMBA DE ACEITE RX150 SDG	$5980.00	$9600.00	$0.00	2.00	0.000	- Sin Departamento -
 PG107200001	BOMBA DE ACEITE SMASH GRANDE PAG	$7775.00	$13000.00	$0.00	2.00	0.000	- Sin Departamento -
48	BOMBA DE ACEITE SMASH WAVE CARTER GRANDE OSAKA 	$3250.00	$7290.00	$0.00	2.00	0.000	- Sin Departamento -
 PG107200003	BOMBA DE ACEITE TITAN 125/ CG 125/ RX OTRAS 	$8050.00	$13000.00	$0.00	1.00	0.000	- Sin Departamento -
1493	BOMBA DE ACEITE YAMAHA CRYPTON/YBR MAX5	$6790.00	$11600.00	$0.00	3.00	0.000	- Sin Departamento -
1528	BOMBA DE FRENO TRASERA SKUA/XR UNIVERSAL	$10190.00	$17500.00	$0.00	1.00	0.000	- Sin Departamento -
 ZV515	BOTON ALTA Y BAJA FUTURA 110	$700.00	$1500.00	$0.00	10.00	0.000	- Sin Departamento -
1003234	BOTON ALTA/BAJA GILERA SMASH FORTE	$700.00	$1500.00	$0.00	10.00	0.000	- Sin Departamento -
1751	BOTON DE ARRANQUE 110 FUTURA	$630.00	$1800.00	$0.00	5.00	0.000	- Sin Departamento -
402	BOTON DE ARRANQUE GILERA SMASH GM	$700.00	$1500.00	$0.00	9.00	0.000	- Sin Departamento -
1512	BOTON DE BOCINA 110	$750.00	$1500.00	$0.00	12.00	0.000	- Sin Departamento -
400	BOTON DE GUIÑO 110 FUTURA GM	$735.00	$1500.00	$0.00	21.00	0.000	- Sin Departamento -
1003230	BOTON DE GUIÑO GILERA SMASH FORTE 	$700.00	$1500.00	$0.00	18.00	0.000	- Sin Departamento -
1003232	BOTON DE LUZ C/CABLE GILERA SMASH FORTE	$1820.00	$2800.00	$0.00	15.00	0.000	- Sin Departamento -
 D404	BOTON DE LUZ GILERA FUTURA GM	$350.00	$1800.00	$0.00	16.00	0.000	- Sin Departamento -
56	BRAZO TENSOR DE DISTRIBUCION GM 	$635.00	$1500.00	$0.00	16.00	0.000	- Sin Departamento -
1642	BRAZO TENSOR WAVE NEW 	$1350.00	$2400.00	$0.00	3.00	0.000	- Sin Departamento -
1496	BUJE DE AMORTIGUADOR GOMA- 110. RX - TITAN	$200.00	$500.00	$0.00	30.00	0.000	- Sin Departamento -
2144	BUJE DE HORQUILLON 23MM HIERRO 	$1750.00	$3000.00	$0.00	10.00	0.000	- Sin Departamento -
